Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
Endothelial Cells,Mdk,Itgb1,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.5107133121925,0.4295066954076568,2.04285324877,0.2314476733732687
Endothelial Cells,Mdk,Sdc4,Cancer Cell,1,0.5,0.644167,1.288334,1.0,1.0,5,1.0,1.979405,9.897025,0.826615722922985,0.922593664227764,1.275067380635,0.826615722922985,12.75067380635,0.922593664227764
Endothelial Cells,Mdk,Sdc4,Endothelial Cells,1,0.5,0.644167,1.288334,1.0,1.0,1,0.5,0.4151840999999999,0.8303681999999999,0.173384277077015,0.07740633577223588,0.2674478961447,0.173384277077015,1.0697915845788,0.07740633577223588
Endothelial Cells,Mfng,Notch2,Cancer Cell,2,1.0,1.555412,3.110824,1.0,1.0,5,1.0,1.1443109,5.7215545,0.7219375551939231,0.8122838032805504,1.7798749055908,0.7219375551939231,17.798749055908,0.8122838032805504
Endothelial Cells,Mfng,Notch2,Neutrophils,2,1.0,1.555412,3.110824,1.0,1.0,1,0.3333333333333333,0.4407443333333333,1.322233,0.2780624448060769,0.1877161967194496,0.6855390249986667,0.2780624448060769,4.113234149992,0.1877161967194496
Endothelial Cells,Mfng,Notch1,Cancer Cell,2,1.0,1.555412,3.110824,1.0,1.0,1,0.2,0.11764274,0.5882137,0.2106831365162572,0.3078932796188451,0.18298292950888,0.2106831365162572,1.8298292950888,0.3078932796188451
Endothelial Cells,Mfng,Notch1,Neutrophils,2,1.0,1.555412,3.110824,1.0,1.0,1,0.3333333333333333,0.4407443333333333,1.322233,0.7893168634837427,0.6921067203811548,0.6855390249986667,0.7893168634837427,4.113234149992,0.6921067203811548
Cancer Cell,Pgf,Nrp2,Cancer Cell,3,0.6,0.4893927,2.4469635,1.0,1.0,2,0.4,0.5668259768583256,2.834129884291628,0.3821139694781738,0.6072352919652916,0.2774004952448335,0.3821139694781738,6.935012381120837,0.6072352919652916
Cancer Cell,Pgf,Nrp2,Endothelial Cells,3,0.6,0.4893927,2.4469635,1.0,1.0,1,0.5,0.916569088840005,1.83313817768001,0.6178860305218261,0.3927647080347085,0.4485622211239499,0.6178860305218261,4.485622211239499,0.3927647080347085
Cancer Cell,Pgf,Nrp1,Cancer Cell,3,0.6,0.4893927,2.4469635,1.0,1.0,1,0.2,0.2489452,1.244726,0.1105810393858656,0.2371209729853092,0.12183196358004,0.1105810393858656,3.045799089501,0.2371209729853092
Cancer Cell,Pgf,Nrp1,Endothelial Cells,3,0.6,0.4893927,2.4469635,1.0,1.0,2,1.0,2.0023015,4.004602999999999,0.8894189606141343,0.7628790270146908,0.9799117372990498,0.8894189606141343,9.799117372990498,0.7628790270146908
Cancer Cell,Pgf,Flt1,Cancer Cell,3,0.6,0.4893927,2.4469635,1.0,1.0,2,0.4,0.54705182,2.7352591,0.1881394493144139,0.3668267493587946,0.267723167229714,0.1881394493144139,6.693079180742849,0.3668267493587946
Cancer Cell,Pgf,Flt1,Endothelial Cells,3,0.6,0.4893927,2.4469635,1.0,1.0,2,1.0,2.3606415,4.721283,0.811860550685586,0.6331732506412053,1.15528071741705,0.811860550685586,11.5528071741705,0.6331732506412053
Cancer Cell,Ptn,Ptprb,Endothelial Cells,4,0.8,1.43604044,7.1802022,0.4288049893244599,0.6523902086365091,2,1.0,2.306858,4.613716,1.0,1.0,3.31274137733752,0.4288049893244599,33.1274137733752,0.6523902086365091
Endothelial Cells,Ptn,Ptprb,Endothelial Cells,2,1.0,1.9128955,3.825791,0.5711950106755401,0.347609791363491,2,1.0,2.306858,4.613716,1.0,1.0,4.412778287339,0.5711950106755401,17.651113149356,0.347609791363491
Cancer Cell,Ptn,Ptprz1,Cancer Cell,4,0.8,1.43604044,7.1802022,0.4288049893244599,0.6523902086365091,1,0.2,0.1202058,0.601029,1.0,1.0,0.172620389922552,0.4288049893244599,4.315509748063801,0.6523902086365091
Endothelial Cells,Ptn,Ptprz1,Cancer Cell,2,1.0,1.9128955,3.825791,0.5711950106755401,0.347609791363491,1,0.2,0.1202058,0.601029,1.0,1.0,0.2299411338939,0.5711950106755401,2.299411338939,0.347609791363491
Cancer Cell,Ptn,Sdc3,Endothelial Cells,4,0.8,1.43604044,7.1802022,0.4288049893244599,0.6523902086365091,1,0.5,0.644167,1.288334,1.0,1.0,0.9250498621134801,0.4288049893244599,9.2504986211348,0.6523902086365091
Endothelial Cells,Ptn,Sdc3,Endothelial Cells,2,1.0,1.9128955,3.825791,0.5711950106755401,0.347609791363491,1,0.5,0.644167,1.288334,1.0,1.0,1.2322241555485,0.5711950106755401,4.928896622194,0.347609791363491
Cancer Cell,Ptn,Plxnb2,Cancer Cell,4,0.8,1.43604044,7.1802022,0.4288049893244599,0.6523902086365091,2,0.4,0.23784854,1.1892427,1.0,1.0,0.3415601220349576,0.4288049893244599,8.539003050873939,0.6523902086365091
Endothelial Cells,Ptn,Plxnb2,Cancer Cell,2,1.0,1.9128955,3.825791,0.5711950106755401,0.347609791363491,2,0.4,0.23784854,1.1892427,1.0,1.0,0.4549794018475699,0.5711950106755401,4.5497940184757,0.347609791363491
Cancer Cell,Ptprc,Mrc1,Cancer Cell,1,0.2,0.073553162079081,0.367765810395405,1.0,1.0,1,0.2,0.11764274,0.5882137,1.0,1.0,0.008652995522647184,1.0,0.2163248880661796,1.0
Cancer Cell,Ccl5,Sdc1,Cancer Cell,3,0.6,1.16965274,5.8482637,0.6448561090199625,0.8194750420077623,5,1.0,1.74721938,8.7360969,0.8079987829098388,0.9132001014669462,2.043639935198101,0.521042951240104,51.09099837995253,0.7483446915111186
Cancer Cell,Ccl5,Sdc1,Endothelial Cells,3,0.6,1.16965274,5.8482637,0.6448561090199625,0.8194750420077623,1,0.5,0.4151840999999999,0.8303681999999999,0.1920012170901612,0.08679989853305374,0.485621220169434,0.1238131577798584,4.85621220169434,0.07113035049664372
Endothelial Cells,Ccl5,Sdc1,Cancer Cell,1,0.5,0.644167,1.288334,0.3551438909800376,0.1805249579922377,5,1.0,1.74721938,8.7360969,0.8079987829098388,0.9132001014669462,1.12550106635646,0.2869558316697349,11.2550106635646,0.1648554099558276
Endothelial Cells,Ccl5,Sdc1,Endothelial Cells,1,0.5,0.644167,1.288334,0.3551438909800376,0.1805249579922377,1,0.5,0.4151840999999999,0.8303681999999999,0.1920012170901612,0.08679989853305374,0.2674478961447,0.06818805931030272,1.0697915845788,0.01566954803641002
Cancer Cell,Ccl5,Ccr1,Cancer Cell,3,0.6,1.16965274,5.8482637,0.6448561090199625,0.8194750420077623,1,0.2,0.16947482,0.8473741,0.09690142191344929,0.1517022600514368,0.1982266875740068,0.06248747389360864,4.95566718935017,0.1243162159283236
Cancer Cell,Ccl5,Ccr1,Neutrophils,3,0.6,1.16965274,5.8482637,0.6448561090199625,0.8194750420077623,2,0.6666666666666666,1.579465666666667,4.738397,0.9030985780865507,0.8482977399485633,1.847426344752593,0.5823686351263538,27.7113951712889,0.6951588260794387
Endothelial Cells,Ccl5,Ccr1,Cancer Cell,1,0.5,0.644167,1.288334,0.3551438909800376,0.1805249579922377,1,0.2,0.16947482,0.8473741,0.09690142191344929,0.1517022600514368,0.10917008637494,0.03441394801984066,1.0917008637494,0.02738604412311314
Endothelial Cells,Ccl5,Ccr1,Neutrophils,1,0.5,0.644167,1.288334,0.3551438909800376,0.1805249579922377,2,0.6666666666666666,1.579465666666667,4.738397,0.9030985780865507,0.8482977399485633,1.017439660099667,0.3207299429601969,6.104637960598001,0.1531389138691245
Cancer Cell,Ccl5,Sdc4,Cancer Cell,3,0.6,1.16965274,5.8482637,0.6448561090199625,0.8194750420077623,5,1.0,1.979405,9.897025,0.826615722922985,0.922593664227764,2.3152164818197,0.5330481987388396,57.8804120454925,0.7560424817491422
Cancer Cell,Ccl5,Sdc4,Endothelial Cells,3,0.6,1.16965274,5.8482637,0.6448561090199625,0.8194750420077623,1,0.5,0.4151840999999999,0.8303681999999999,0.173384277077015,0.07740633577223588,0.485621220169434,0.111807910281123,4.85621220169434,0.06343256025861996
Endothelial Cells,Ccl5,Sdc4,Cancer Cell,1,0.5,0.644167,1.288334,0.3551438909800376,0.1805249579922377,5,1.0,1.979405,9.897025,0.826615722922985,0.922593664227764,1.275067380635,0.2935675241841456,12.75067380635,0.1665511824786217
Endothelial Cells,Ccl5,Sdc4,Endothelial Cells,1,0.5,0.644167,1.288334,0.3551438909800376,0.1805249579922377,1,0.5,0.4151840999999999,0.8303681999999999,0.173384277077015,0.07740633577223588,0.2674478961447,0.06157636679589205,1.0697915845788,0.01397377551361593
Cancer Cell,Cx3cl1,Cx3cr1,Cancer Cell,2,0.4,0.3016996,1.508498,0.4208487373893423,0.6449697721058177,1,0.2,0.17796638,0.8898318999999999,1.0,1.0,0.05369238565944798,0.4208487373893423,1.3423096414862,0.6449697721058177
Endothelial Cells,Cx3cl1,Cx3cr1,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,0.5791512626106577,0.3550302278941822,1,0.2,0.17796638,0.8898318999999999,1.0,1.0,0.07388881131055798,0.5791512626106577,0.7388881131055798,0.3550302278941822
Cancer Cell,Cx3cl1,Itgav,Cancer Cell,2,0.4,0.3016996,1.508498,0.4208487373893423,0.6449697721058177,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,0.03626604177768,0.05182530991063059,0.906651044442,0.1407761787181836
Cancer Cell,Cx3cl1,Itgav,Endothelial Cells,2,0.4,0.3016996,1.508498,0.4208487373893423,0.6449697721058177,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,0.12526087689636,0.1790017174917204,1.2526087689636,0.1944932143458908
Cancer Cell,Cx3cl1,Itgav,Neutrophils,2,0.4,0.3016996,1.508498,0.4208487373893423,0.6449697721058177,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,0.1329723890689333,0.1900217099869913,1.994585836034,0.3097003790417434
Endothelial Cells,Cx3cl1,Itgav,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,0.5791512626106577,0.3550302278941822,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,0.04990753688777999,0.07131943380921367,0.4990753688778,0.07749169181868083
Endothelial Cells,Cx3cl1,Itgav,Endothelial Cells,1,0.5,0.4151840999999999,0.8303681999999999,0.5791512626106577,0.3550302278941822,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,0.1723778368928099,0.2463333294948159,0.6895113475712398,0.1070607851708199
Endothelial Cells,Cx3cl1,Itgav,Neutrophils,1,0.5,0.4151840999999999,0.8303681999999999,0.5791512626106577,0.3550302278941822,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,0.1829900393651,0.2614984993066281,1.0979402361906,0.1704777509046815
Cancer Cell,Selplg,Sell,Neutrophils,1,0.2,0.07355315999999999,0.3677658,0.03767865420559521,0.06125898623640091,1,0.3333333333333333,0.4407442343222034,1.32223270296661,1.0,1.0,0.03241813118617851,0.03767865420559521,0.4862719677926777,0.06125898623640091
Neutrophils,Selplg,Sell,Neutrophils,3,1.0,1.878564333333334,5.635693000000001,0.9623213457944049,0.9387410137635991,1,0.3333333333333333,0.4407442343222034,1.32223270296661,1.0,1.0,0.8279663987200006,0.9623213457944049,7.451697588480005,0.9387410137635991
Cancer Cell,Adam17,Itga5,Cancer Cell,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,1,0.2,0.11764274,0.5882137,0.1555121713199775,0.3152440080246542,0.014141339675892,0.01915050648251515,0.3535334918973,0.06880763833104749
Cancer Cell,Adam17,Itga5,Endothelial Cells,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,1,0.5,0.638843,1.277686,0.8444878286800225,0.6847559919753458,0.07679263388940001,0.1039942372373291,0.7679263388940001,0.1494602322058169
Endothelial Cells,Adam17,Itga5,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,1,0.2,0.11764274,0.5882137,0.1555121713199775,0.3152440080246542,0.04884339512843399,0.06614477669536094,0.4884339512843399,0.09506309144351252
Endothelial Cells,Adam17,Itga5,Endothelial Cells,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,1,0.5,0.638843,1.277686,0.8444878286800225,0.6847559919753458,0.2652374559963,0.3591902702911754,1.0609498239852,0.2064909080731982
Neutrophils,Adam17,Itga5,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,1,0.2,0.11764274,0.5882137,0.1555121713199775,0.3152440080246542,0.05185037101280666,0.07021688814210145,0.7777555651921,0.1513732782500942
Neutrophils,Adam17,Itga5,Endothelial Cells,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,1,0.5,0.638843,1.277686,0.8444878286800225,0.6847559919753458,0.2815664321396667,0.3813033211515179,1.689398592838,0.3288048516963307
Cancer Cell,Adam17,Itgb1,Cancer Cell,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.126585727643232,0.07025325178791116,3.1646431910808,0.1677502797289693
Cancer Cell,Adam17,Itgb1,Endothelial Cells,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.0953024638995,0.05289149193193311,0.9530246389950001,0.05051759080789511
Endothelial Cells,Adam17,Itgb1,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.4372200127148639,0.2426507965142886,4.372200127148639,0.2317600279321642
Endothelial Cells,Adam17,Itgb1,Endothelial Cells,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.32916937204275,0.1826842504722476,1.316677488171,0.06979397158454649
Neutrophils,Adam17,Itgb1,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.4641368564547733,0.2575892562901433,6.9620528468216,0.3690420189655977
Neutrophils,Adam17,Itgb1,Endothelial Cells,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.3494342279358333,0.193930953003476,2.096605367615,0.1111361109808271
Cancer Cell,Adam17,Notch1,Cancer Cell,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,1,0.2,0.11764274,0.5882137,0.2106831365162572,0.3078932796188451,0.014141339675892,0.02594452085238745,0.3535334918973,0.06720321049501668
Cancer Cell,Adam17,Notch1,Neutrophils,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,1,0.3333333333333333,0.4407443333333333,1.322233,0.7893168634837427,0.6921067203811548,0.0529800251838,0.0972002228674568,0.7947003777570001,0.1510646600418477
Endothelial Cells,Adam17,Notch1,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,1,0.2,0.11764274,0.5882137,0.2106831365162572,0.3078932796188451,0.04884339512843399,0.0896109217694131,0.4884339512843399,0.09284644989337969
Endothelial Cells,Adam17,Notch1,Neutrophils,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,1,0.3333333333333333,0.4407443333333333,1.322233,0.7893168634837427,0.6921067203811548,0.1829900393651,0.3357241252171232,1.0979402361906,0.208707549623331
Neutrophils,Adam17,Notch1,Cancer Cell,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,1,0.2,0.11764274,0.5882137,0.2106831365162572,0.3078932796188451,0.05185037101280666,0.09512769389445663,0.7777555651921,0.1478436192304488
Neutrophils,Adam17,Notch1,Neutrophils,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,1,0.3333333333333333,0.4407443333333333,1.322233,0.7893168634837427,0.6921067203811548,0.1942555673654445,0.3563925153991627,1.748300106289,0.3323345107159761
Endothelial Cells,Tgfa,Erbb2,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,2,0.4,0.2946951,1.4734755,1.0,1.0,0.12235271986791,1.0,1.2235271986791,1.0
Endothelial Cells,Tgfb2,Eng,Endothelial Cells,1,0.5,0.638843,1.277686,1.0,1.0,1,0.5,1.005502,2.011004,1.0,1.0,0.642357914186,1.0,2.569431656744,1.0
Endothelial Cells,Tgfb2,Tgfbr1,Cancer Cell,1,0.5,0.638843,1.277686,1.0,1.0,1,0.2,0.16947482,0.8473741,1.0,1.0,0.10826780243326,1.0,1.0826780243326,1.0
Cancer Cell,Tgfb3,Eng,Endothelial Cells,1,0.2,0.07355315999999999,0.3677658,1.0,1.0,1,0.5,1.005502,2.011004,1.0,1.0,0.07395784948631999,1.0,0.7395784948631998,1.0
Cancer Cell,Tgfb3,Tgfbr1,Cancer Cell,1,0.2,0.07355315999999999,0.3677658,1.0,1.0,1,0.2,0.16947482,0.8473741,1.0,1.0,0.0124654085514312,1.0,0.31163521378578,1.0
Cancer Cell,Tgfb3,Acvrl1,Endothelial Cells,1,0.2,0.07355315999999999,0.3677658,1.0,1.0,1,0.5,0.638843,1.277686,1.0,1.0,0.04698892139388,1.0,0.4698892139388,1.0
Cancer Cell,Timp2,Itgb1,Cancer Cell,3,0.6,0.6762739,3.3813695,0.313961593350424,0.4569807479683033,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.712167164293456,0.1791129869055608,17.8041791073364,0.3512136170746634
Cancer Cell,Timp2,Itgb1,Endothelial Cells,3,0.6,0.6762739,3.3813695,0.313961593350424,0.4569807479683033,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.53616854545225,0.1348486064448632,5.3616854545225,0.1057671308936399
Endothelial Cells,Timp2,Itgb1,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,0.1927500995820802,0.1122214774590868,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.4372200127148639,0.1099626412710842,4.372200127148639,0.08624807759867043
Endothelial Cells,Timp2,Itgb1,Endothelial Cells,1,0.5,0.4151840999999999,0.8303681999999999,0.1927500995820802,0.1122214774590868,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.32916937204275,0.08278745831099603,1.316677488171,0.02597339986041636
Neutrophils,Timp2,Itgb1,Cancer Cell,2,0.6666666666666666,1.062544,3.187632000000001,0.4932883070674958,0.43079777457261,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,1.11893856530176,0.2814176764156981,16.7840784795264,0.3310906319533975
Neutrophils,Timp2,Itgb1,Endothelial Cells,2,0.6666666666666666,1.062544,3.187632000000001,0.4932883070674958,0.43079777457261,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.8424141031600001,0.2118706306517976,5.054484618960001,0.0997071426192125
Cancer Cell,Vegfa,Nrp2,Cancer Cell,2,0.4,0.26477368,1.3238684,1.0,1.0,2,0.4,0.5668259768583256,2.834129884291628,0.3821139694781738,0.6072352919652916,0.1500805998123737,0.3821139694781738,3.752014995309342,0.6072352919652916
Cancer Cell,Vegfa,Nrp2,Endothelial Cells,2,0.4,0.26477368,1.3238684,1.0,1.0,1,0.5,0.916569088840005,1.83313817768001,0.6178860305218261,0.3927647080347085,0.2426833706264151,0.6178860305218261,2.426833706264151,0.3927647080347085
Cancer Cell,Vegfa,Nrp1,Cancer Cell,2,0.4,0.26477368,1.3238684,1.0,1.0,1,0.2,0.2489452,1.244726,0.1105810393858656,0.2371209729853092,0.06591413672233601,0.1105810393858656,1.6478534180584,0.2371209729853092
Cancer Cell,Vegfa,Nrp1,Endothelial Cells,2,0.4,0.26477368,1.3238684,1.0,1.0,2,1.0,2.0023015,4.004602999999999,0.8894189606141343,0.7628790270146908,0.5301567366245199,0.8894189606141343,5.3015673662452,0.7628790270146908
Cancer Cell,Vegfa,Gpc1,Cancer Cell,2,0.4,0.26477368,1.3238684,1.0,1.0,2,0.4,0.2474161037309284,1.237080518654642,1.0,1.0,0.06550927227609965,1.0,1.637731806902491,1.0
Cancer Cell,Vegfa,Kdr,Endothelial Cells,2,0.4,0.26477368,1.3238684,1.0,1.0,2,1.0,1.649669,3.299338,1.0,1.0,0.43678893191192,1.0,4.367889319119199,1.0
Cancer Cell,Vegfa,Flt1,Cancer Cell,2,0.4,0.26477368,1.3238684,1.0,1.0,2,0.4,0.54705182,2.7352591,0.1881394493144139,0.3668267493587946,0.1448449235320976,0.1881394493144139,3.62112308830244,0.3668267493587946
Cancer Cell,Vegfa,Flt1,Endothelial Cells,2,0.4,0.26477368,1.3238684,1.0,1.0,2,1.0,2.3606415,4.721283,0.811860550685586,0.6331732506412053,0.62503573711572,0.811860550685586,6.2503573711572,0.6331732506412053
Cancer Cell,Vim,Cd44,Cancer Cell,4,0.8,1.8119266,9.059633,0.2798926836857786,0.4658958400861397,3,0.6,0.51319096,2.5659548,0.3638429170291098,0.4880278720175903,0.929864351303536,0.1018369704873396,23.2466087825884,0.2273701554190863
Cancer Cell,Vim,Cd44,Neutrophils,4,0.8,1.8119266,9.059633,0.2798926836857786,0.4658958400861397,1,0.3333333333333333,0.8972830000000002,2.691849,0.6361570829708902,0.5119721279824098,1.6258109354278,0.178055713198439,24.387164031417,0.2385256846670534
Endothelial Cells,Vim,Cd44,Cancer Cell,2,1.0,3.599177,7.198354,0.5559735750830799,0.3701787019482383,3,0.6,0.51319096,2.5659548,0.3638429170291098,0.4880278720175903,1.84706509983992,0.2022870473493306,18.4706509983992,0.1806575241780325
Endothelial Cells,Vim,Cd44,Neutrophils,2,1.0,3.599177,7.198354,0.5559735750830799,0.3701787019482383,1,0.3333333333333333,0.8972830000000002,2.691849,0.6361570829708902,0.5119721279824098,3.229480336091,0.3536865277337493,19.376882016546,0.1895211777702058
Neutrophils,Vim,Cd44,Cancer Cell,2,0.6666666666666666,1.062544,3.187632000000001,0.1641337412311415,0.163925457965622,3,0.6,0.51319096,2.5659548,0.3638429170291098,0.4880278720175903,0.54528797540224,0.05971889919243958,8.179319631033602,0.08000019242047145
Neutrophils,Vim,Cd44,Neutrophils,2,0.6666666666666666,1.062544,3.187632000000001,0.1641337412311415,0.163925457965622,1,0.3333333333333333,0.8972830000000002,2.691849,0.6361570829708902,0.5119721279824098,0.9534026679520003,0.1044148420387019,8.580624011568004,0.08392526554515056
Endothelial Cells,Tnfsf10,Tnfrsf10b,Endothelial Cells,1,0.5,0.4151840999999999,0.8303681999999999,1.0,1.0,1,0.5,0.644167,1.288334,1.0,1.0,0.2674478961447,1.0,1.0697915845788,1.0
Cancer Cell,Adam15,Itga5,Cancer Cell,2,0.4,0.29817218,1.4908609,0.2454614899941072,0.4485142579319145,1,0.2,0.11764274,0.5882137,0.1555121713199775,0.3152440080246542,0.0350777922469732,0.03817224928442056,0.8769448061743299,0.1413914323266603
Cancer Cell,Adam15,Itga5,Endothelial Cells,2,0.4,0.29817218,1.4908609,0.2454614899941072,0.4485142579319145,1,0.5,0.638843,1.277686,0.8444878286800225,0.6847559919753458,0.19048520998774,0.2072892407096867,1.9048520998774,0.3071228256052542
Endothelial Cells,Adam15,Itga5,Cancer Cell,1,0.5,0.916569,1.833138,0.7545385100058928,0.5514857420680855,1,0.2,0.11764274,0.5882137,0.1555121713199775,0.3152440080246542,0.10782768855906,0.117339922035557,1.0782768855906,0.1738525756979939
Endothelial Cells,Adam15,Itga5,Endothelial Cells,1,0.5,0.916569,1.833138,0.7545385100058928,0.5514857420680855,1,0.5,0.638843,1.277686,0.8444878286800225,0.6847559919753458,0.585543689667,0.6371985879703358,2.342174758668,0.3776331663700916
Cancer Cell,Adam15,Itgav,Cancer Cell,2,0.4,0.29817218,1.4908609,0.2454614899941072,0.4485142579319145,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,0.035842025434644,0.03022729227841546,0.8960506358661,0.09789625198422092
Cancer Cell,Adam15,Itgav,Endothelial Cells,2,0.4,0.29817218,1.4908609,0.2454614899941072,0.4485142579319145,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,0.123796348198338,0.1044033743800288,1.23796348198338,0.1352512683196384
Cancer Cell,Adam15,Itgav,Neutrophils,2,0.4,0.29817218,1.4908609,0.2454614899941072,0.4485142579319145,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,0.1314176986926467,0.110830823335663,1.9712654803897,0.2153667376280552
Endothelial Cells,Adam15,Itgav,Cancer Cell,1,0.5,0.916569,1.833138,0.7545385100058928,0.5514857420680855,1,0.2,0.1202058,0.601029,0.1231447437198443,0.2182678705368644,0.1101769099002,0.09291745144142882,1.101769099002,0.1203716185526435
Endothelial Cells,Adam15,Itgav,Endothelial Cells,1,0.5,0.916569,1.833138,0.7545385100058928,0.5514857420680855,1,0.5,0.4151840999999999,0.8303681999999999,0.4253350469865363,0.3015539995167107,0.3805448753528999,0.3209316726065075,1.5221795014116,0.1663027311970723
Endothelial Cells,Adam15,Itgav,Neutrophils,1,0.5,0.916569,1.833138,0.7545385100058928,0.5514857420680855,1,0.3333333333333333,0.4407443333333333,1.322233,0.4515202092936194,0.4801781299464249,0.403972592859,0.3406893859579564,2.423835557154,0.2648113923183698
Cancer Cell,Adam15,Itgb1,Cancer Cell,2,0.4,0.29817218,1.4908609,0.2454614899941072,0.4485142579319145,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.3139976803803872,0.1400341365768986,7.84994200950968,0.3447066764588347
Cancer Cell,Adam15,Itgb1,Endothelial Cells,2,0.4,0.29817218,1.4908609,0.2454614899941072,0.4485142579319145,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.23639910403895,0.1054273534172086,2.3639910403895,0.1038075814730798
Endothelial Cells,Adam15,Itgb1,Cancer Cell,1,0.5,0.916569,1.833138,0.7545385100058928,0.5514857420680855,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.9652159363377599,0.4304591680154445,9.6521593633776,0.4238456501678965
Endothelial Cells,Adam15,Itgb1,Endothelial Cells,1,0.5,0.916569,1.833138,0.7545385100058928,0.5514857420680855,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.7266811088475,0.3240793419904482,2.90672443539,0.127640091900189
Cancer Cell,Efnb2,Epha4,Cancer Cell,1,0.2,0.07355315999999999,0.3677658,0.1032475525977007,0.2235044502670938,1,0.2,0.28716327776589,1.43581638882945,1.0,1.0,0.02112176651563895,0.1032475525977007,0.5280441628909737,0.2235044502670938
Endothelial Cells,Efnb2,Epha4,Cancer Cell,1,0.5,0.638843,1.277686,0.8967524474022993,0.7764955497329062,1,0.2,0.28716327776589,1.43581638882945,1.0,1.0,0.1834522498577945,0.8967524474022993,1.834522498577945,0.7764955497329062
Cancer Cell,Efnb2,Ephb3,Cancer Cell,1,0.2,0.07355315999999999,0.3677658,0.1032475525977007,0.2235044502670938,2,0.4,0.1911959,0.9559795,1.0,1.0,0.014063062624044,0.1032475525977007,0.3515765656011,0.2235044502670938
