Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
Endothelial Cells,Il1b,Il1r2,Cancer Cell,1,0.5,0.4151840999999999,0.8303681999999999,0.06824233080591631,0.04332764190995768,1,0.2,0.1694748116240716,0.8473740581203578,0.09038796240123957,0.1420847688396228,0.07036324713680969,0.006168285231058116,0.7036324713680968,0.006156197985142292
Endothelial Cells,Il1b,Il1r2,Neutrophils,1,0.5,0.4151840999999999,0.8303681999999999,0.06824233080591631,0.04332764190995768,2,0.6666666666666666,1.70549622568905,5.116488677067149,0.9096120375987604,0.8579152311603772,0.7080949155161049,0.06207404557485819,4.248569493096629,0.03717144392481539
Neutrophils,Il1b,Il1r2,Cancer Cell,3,1.0,5.004711666666666,15.014135,0.8226066199184782,0.7834200115897532,1,0.2,0.1694748116240716,0.8473740581203578,0.09038796240123957,0.1420847688396228,0.8481725669411265,0.07435373623220218,12.7225885041169,0.1113120512510647
Neutrophils,Il1b,Il1r2,Neutrophils,3,1.0,5.004711666666666,15.014135,0.8226066199184782,0.7834200115897532,2,0.6666666666666666,1.70549622568905,5.116488677067149,0.9096120375987604,0.8579152311603772,8.535516858161953,0.748252883686276,76.81965172345758,0.6721079603386885
Cancer Cell,Cd14,Itgb1,Cancer Cell,2,0.4,0.42525312,2.1262656,0.08920212441004215,0.1403253290439008,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,0.4478234463541247,0.05088921473134226,11.19558615885312,0.1078473581213516
Cancer Cell,Cd14,Itgb1,Endothelial Cells,2,0.4,0.42525312,2.1262656,0.08920212441004215,0.1403253290439008,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,0.3371523679968,0.03831290967869988,3.371523679968,0.03247797092254921
Neutrophils,Cd14,Itgb1,Cancer Cell,3,1.0,4.342045,13.026135,0.9107978755899578,0.8596746709560992,5,1.0,1.05307504,5.2653752,0.5704933045923432,0.7685523266267312,4.572499212056799,0.5196040898610009,68.587488180852,0.6607049685053796
Neutrophils,Cd14,Itgb1,Endothelial Cells,3,1.0,4.342045,13.026135,0.9107978755899578,0.8596746709560992,1,0.5,0.7928275,1.585655,0.4295066954076568,0.2314476733732687,3.4424926822375,0.3911937857289569,20.654956093425,0.1989697024507195
Cancer Cell,Tnf,Tnfrsf1a,Cancer Cell,1,0.2,0.1202058,0.601029,0.1033622229131813,0.1611648033053011,4,0.8,0.56044534,2.8022267,0.2805818371981607,0.4936786845503422,0.067368780450972,0.02900156240186623,1.6842195112743,0.0795636280915757
Cancer Cell,Tnf,Tnfrsf1a,Endothelial Cells,1,0.2,0.1202058,0.601029,0.1033622229131813,0.1611648033053011,2,1.0,1.4369945,2.873989,0.7194181628018393,0.5063213154496577,0.1727350734681,0.07436066051131508,1.727350734681,0.08160117521372542
Neutrophils,Tnf,Tnfrsf1a,Cancer Cell,1,0.3333333333333333,1.042751,3.128253,0.8966377770868188,0.8388351966946989,4,0.8,0.56044534,2.8022267,0.2805818371981607,0.4936786845503422,0.58440493873034,0.2515802747962945,8.7660740809551,0.4141150564587665
Neutrophils,Tnf,Tnfrsf1a,Endothelial Cells,1,0.3333333333333333,1.042751,3.128253,0.8966377770868188,0.8388351966946989,2,1.0,1.4369945,2.873989,0.7194181628018393,0.5063213154496577,1.4984274518695,0.6450575022905244,8.990564711216999,0.4247201402359324
Cancer Cell,Tnf,Tnfrsf1b,Cancer Cell,1,0.2,0.1202058,0.601029,0.1033622229131813,0.1611648033053011,1,0.2,0.1202058,0.601029,1.0,1.0,0.01444943435364,0.1033622229131813,0.3612358588410001,0.1611648033053011
Neutrophils,Tnf,Tnfrsf1b,Cancer Cell,1,0.3333333333333333,1.042751,3.128253,0.8966377770868188,0.8388351966946989,1,0.2,0.1202058,0.601029,1.0,1.0,0.1253447181558,0.8966377770868188,1.880170772337,0.8388351966946989
Cancer Cell,Tnf,Tnfrsf21,Cancer Cell,1,0.2,0.1202058,0.601029,0.1033622229131813,0.1611648033053011,4,0.8,0.7020855800000001,3.5104279,1.0,1.0,0.08439475881236401,0.1033622229131813,2.1098689703091,0.1611648033053011
Neutrophils,Tnf,Tnfrsf21,Cancer Cell,1,0.3333333333333333,1.042751,3.128253,0.8966377770868188,0.8388351966946989,4,0.8,0.7020855800000001,3.5104279,1.0,1.0,0.7321004406305801,0.8966377770868188,10.9815066094587,0.8388351966946989
Cancer Cell,Ltbp1,Itgb5,Cancer Cell,1,0.2,0.17796638,0.8898318999999999,1.0,1.0,2,0.4,0.22334192,1.1167096,0.2642656846184621,0.3744697963045343,0.0397473530046496,0.2642656846184621,0.99368382511624,0.3744697963045343
Cancer Cell,Ltbp1,Itgb5,Neutrophils,1,0.2,0.17796638,0.8898318999999999,1.0,1.0,1,0.3333333333333333,0.6217996666666669,1.865399,0.7357343153815379,0.6255302036954657,0.1106594357618734,0.7357343153815379,1.6598915364281,0.6255302036954657
Cancer Cell,Il11,Il11ra1,Cancer Cell,1,0.2,0.11764274,0.5882137,1.0,1.0,1,0.2,0.11764274,0.5882137,1.0,1.0,0.0138398142747076,1.0,0.34599535686769,1.0
Cancer Cell,Tgfb1,Eng,Endothelial Cells,4,0.8,0.8052013,4.0260065,0.318392813771387,0.5087028672739377,1,0.5,1.005502,2.011004,1.0,1.0,0.8096315175525999,0.318392813771387,8.096315175526,0.5087028672739377
