Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endothelial Cells,Tgfb1,Acvrl1,Endothelial Cells,1.0,1.28301,0.5073279985971547,0.5,0.638843,1.0,0.81964195743,0.5073279985971547
Neutrophils,Tgfb1,Acvrl1,Endothelial Cells,0.3333333333333333,0.4407443333333333,0.1742791876314582,0.5,0.638843,1.0,0.2815664321396667,0.1742791876314582
Cancer Cell,Tgfb1,Itgav,Endothelial Cells,0.8,0.8052013000000001,0.31839281377138695,0.5,0.4151840999999999,0.4253350469865363,0.33430677705933,0.1354236224056284
Cancer Cell,Tgfb1,Itgav,Neutrophils,0.8,0.8052013000000001,0.31839281377138695,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.3548879101676333,0.14376078991164098
Endothelial Cells,Tgfb1,Itgav,Endothelial Cells,1.0,1.28301,0.5073279985971547,0.5,0.4151840999999999,0.4253350469865363,0.5326853521409999,0.2157843781209062
Endothelial Cells,Tgfb1,Itgav,Neutrophils,1.0,1.28301,0.5073279985971547,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.56547938711,0.2290688441071003
Neutrophils,Tgfb1,Itgav,Endothelial Cells,0.3333333333333333,0.4407443333333333,0.1742791876314582,0.5,0.4151840999999999,0.4253350469865363,0.1829900393651,0.07412704646000166
Neutrophils,Tgfb1,Itgav,Neutrophils,0.3333333333333333,0.4407443333333333,0.1742791876314582,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.1942555673654445,0.07869057527487798
Cancer Cell,Tgfb1,Vasn,Cancer Cell,0.8,0.8052013000000001,0.31839281377138695,0.4,0.19119589999999997,1.0,0.15395118723467002,0.31839281377138695
Endothelial Cells,Tgfb1,Vasn,Cancer Cell,1.0,1.28301,0.5073279985971547,0.4,0.19119589999999997,1.0,0.245306251659,0.5073279985971547
Neutrophils,Tgfb1,Vasn,Cancer Cell,0.3333333333333333,0.4407443333333333,0.1742791876314582,0.4,0.19119589999999997,1.0,0.08426850948156668,0.1742791876314582
Cancer Cell,Anxa1,Fpr1,Neutrophils,1.0,0.95900026,1.0,0.3333333333333333,0.8377313333333333,1.0,0.8033845664768133,1.0
Cancer Cell,Anxa1,Dysf,Endothelial Cells,1.0,0.95900026,1.0,0.5,0.4151840999999999,1.0,0.3981616598478659,1.0
Endothelial Cells,Icam2,Itgam,Neutrophils,0.5,0.4151840999999999,1.0,0.3333333333333333,0.6217996666666669,1.0,0.25816133498530003,1.0
Cancer Cell,Plat,Lrp1,Cancer Cell,0.6,0.4923067,1.0,0.4,0.19375896,1.0,0.09538883419303197,1.0
Endothelial Cells,Adm,Ramp2,Endothelial Cells,0.5,0.644167,1.0,1.0,2.814566,1.0,1.8130505365220002,1.0
Endothelial Cells,Adm,Calcrl,Endothelial Cells,0.5,0.644167,1.0,0.5,0.4151840999999999,1.0,0.2674478961447,1.0
Endothelial Cells,Igfbp4,Lrp6,Cancer Cell,0.5,1.4402765,0.9316294678063758,0.4,0.3474412,0.4555857247327095,0.5004113954918,0.4244370862729162
Endothelial Cells,Igfbp4,Lrp6,Endothelial Cells,0.5,1.4402765,0.9316294678063758,0.5,0.4151840999999999,0.5444142752672905,0.5979799024036501,0.5071923815334596
Cancer Cell,Cxcl10,Sdc4,Cancer Cell,0.6,1.09403638,0.5347916809790378,1.0,1.9794049999999999,0.8266157229229849,2.1655410807538997,0.4420672119856857
Cancer Cell,Cxcl10,Sdc4,Endothelial Cells,0.6,1.09403638,0.5347916809790378,0.5,0.4151840999999999,0.173384277077015,0.4542265097975579,0.09272446899335213
Neutrophils,Cxcl10,Sdc4,Cancer Cell,0.3333333333333333,0.9516879999999999,0.4652083190209622,1.0,1.9794049999999999,0.8266157229229849,1.88377598564,0.3845485109372993
Neutrophils,Cxcl10,Sdc4,Endothelial Cells,0.3333333333333333,0.9516879999999999,0.4652083190209622,0.5,0.4151840999999999,0.173384277077015,0.3951257257608,0.08065980808366291
Cancer Cell,Alcam,Nrp1,Endothelial Cells,0.8,0.94636168,1.0,1.0,2.0023014999999997,0.8894189606141343,1.89490141140652,0.8894189606141343
Endothelial Cells,Bgn,Tlr2,Neutrophils,0.5,0.638843,1.0,0.3333333333333333,0.4407443333333333,1.0,0.2815664321396667,1.0
Endothelial Cells,Bgn,Fgfr3,Cancer Cell,0.5,0.638843,1.0,0.4,0.42691158,0.5069632704920182,0.27272947450194,0.5069632704920182
Endothelial Cells,Bgn,Fgfr3,Endothelial Cells,0.5,0.638843,1.0,0.5,0.4151840999999999,0.4930367295079818,0.2652374559963,0.4930367295079818
Endothelial Cells,Cd34,Sell,Neutrophils,0.5,1.2687285,1.0,0.3333333333333333,0.4407442343222034,1.0,0.5591847712952576,1.0
Endothelial Cells,Cd38,Pecam1,Endothelial Cells,1.0,1.0593511,1.0,1.0,2.4948924999999997,1.0,2.64296711425675,1.0
Cancer Cell,Cd47,Sirpa,Endothelial Cells,0.6,0.8608319999999999,0.3092652540757211,0.5,0.4151840999999999,0.3738588875618897,0.3574037591711999,0.1156215638502943
Cancer Cell,Cd47,Sirpa,Neutrophils,0.6,0.8608319999999999,0.3092652540757211,0.3333333333333333,0.6217996666666669,0.5599090419559756,0.5352650506560002,0.1731604121198084
Endothelial Cells,Cd47,Sirpa,Endothelial Cells,0.5,0.644167,0.2314254940826957,0.5,0.4151840999999999,0.3738588875618897,0.2674478961447,0.08652047777121731
Endothelial Cells,Cd47,Sirpa,Neutrophils,0.5,0.644167,0.2314254940826957,0.3333333333333333,0.6217996666666669,0.5599090419559756,0.4005428258776668,0.1295772266760304
Neutrophils,Cd47,Sirpa,Endothelial Cells,0.6666666666666666,1.278475666666667,0.4593092518415832,0.5,0.4151840999999999,0.3738588875618897,0.5308027690368999,0.1717168459403781
Neutrophils,Cd47,Sirpa,Neutrophils,0.6666666666666666,1.278475666666667,0.4593092518415832,0.3333333333333333,0.6217996666666669,0.5599090419559756,0.7949557433747781,0.2571714031601368
Endothelial Cells,Col4a2,Cd93,Endothelial Cells,1.0,2.246154,0.9492022303624328,1.0,1.6496689999999998,1.0,3.7054106230259984,0.9492022303624328
Cancer Cell,Hbegf,Cd44,Cancer Cell,1.0,1.26395532,0.4962593365817796,0.6,0.51319096,0.3638429170291098,0.6486504440679072,0.1805604446248455
Cancer Cell,Hbegf,Cd44,Neutrophils,1.0,1.26395532,0.4962593365817796,0.3333333333333333,0.8972830000000002,0.6361570829708902,1.13412562139556,0.3156988919569341
Endothelial Cells,Hbegf,Cd44,Cancer Cell,1.0,1.28301,0.5037406634182204,0.6,0.51319096,0.3638429170291098,0.6584291335896,0.1832824724042643
Endothelial Cells,Hbegf,Cd44,Neutrophils,1.0,1.28301,0.5037406634182204,0.3333333333333333,0.8972830000000002,0.6361570829708902,1.15122306183,0.3204581910139562
Cancer Cell,Hbegf,Erbb2,Cancer Cell,1.0,1.26395532,0.4962593365817796,0.4,0.29469509999999993,1.0,0.37248143942293205,0.4962593365817796
Endothelial Cells,Hbegf,Erbb2,Cancer Cell,1.0,1.28301,0.5037406634182204,0.4,0.29469509999999993,1.0,0.378096760251,0.5037406634182204
Cancer Cell,Hbegf,Cd9,Cancer Cell,1.0,1.26395532,0.4962593365817796,1.0,2.0584632,0.3546779492205472,2.601805512664224,0.1760122437803749
Cancer Cell,Hbegf,Cd9,Endothelial Cells,1.0,1.26395532,0.4962593365817796,1.0,1.3317531,0.2294641256526258,1.6832764156714919,0.1138737147656902
Cancer Cell,Hbegf,Cd9,Neutrophils,1.0,1.26395532,0.4962593365817796,1.0,2.413536666666667,0.4158579251268271,3.0506025098484,0.2063733780357146
Endothelial Cells,Hbegf,Cd9,Cancer Cell,1.0,1.28301,0.5037406634182204,1.0,2.0584632,0.3546779492205472,2.641028870232,0.1786657054401724
Endothelial Cells,Hbegf,Cd9,Endothelial Cells,1.0,1.28301,0.5037406634182204,1.0,1.3317531,0.2294641256526258,1.708652544831,0.1155904108869356
Endothelial Cells,Hbegf,Cd9,Neutrophils,1.0,1.28301,0.5037406634182204,1.0,2.413536666666667,0.4158579251268271,3.0965916787,0.2094845470911125
Cancer Cell,Hbegf,Cd82,Cancer Cell,1.0,1.26395532,0.4962593365817796,0.8,1.2373341999999998,1.0,1.5639351447079441,0.4962593365817796
Endothelial Cells,Hbegf,Cd82,Cancer Cell,1.0,1.28301,0.5037406634182204,0.8,1.2373341999999998,1.0,1.5875121519420001,0.5037406634182204
Endothelial Cells,Fgf2,Cd44,Cancer Cell,0.5,0.644167,1.0,0.6,0.51319096,0.3638429170291098,0.33058068113032,0.3638429170291098
Endothelial Cells,Fgf2,Cd44,Neutrophils,0.5,0.644167,1.0,0.3333333333333333,0.8972830000000002,0.6361570829708902,0.5780000982610002,0.6361570829708902
Endothelial Cells,Fgf2,Sdc1,Cancer Cell,0.5,0.644167,1.0,1.0,1.74721938,0.8079987829098388,1.12550106635646,0.8079987829098388
Endothelial Cells,Fgf2,Sdc1,Endothelial Cells,0.5,0.644167,1.0,0.5,0.4151840999999999,0.1920012170901612,0.2674478961447,0.1920012170901612
Endothelial Cells,Fgf2,Nrp1,Endothelial Cells,0.5,0.644167,1.0,1.0,2.0023014999999997,0.8894189606141343,1.2898165503505001,0.8894189606141343
Endothelial Cells,Fgf2,Sdc3,Endothelial Cells,0.5,0.644167,1.0,0.5,0.644167,1.0,0.4149511238890001,1.0
Endothelial Cells,Fgf2,Sdc4,Cancer Cell,0.5,0.644167,1.0,1.0,1.9794049999999999,0.8266157229229849,1.275067380635,0.8266157229229849
Endothelial Cells,Fgf2,Sdc4,Endothelial Cells,0.5,0.644167,1.0,0.5,0.4151840999999999,0.173384277077015,0.2674478961447,0.173384277077015
Endothelial Cells,Fgf2,Fgfr3,Cancer Cell,0.5,0.644167,1.0,0.4,0.42691158,0.5069632704920182,0.27500235175385995,0.5069632704920182
Endothelial Cells,Fgf2,Fgfr3,Endothelial Cells,0.5,0.644167,1.0,0.5,0.4151840999999999,0.4930367295079818,0.2674478961447,0.4930367295079818
Endothelial Cells,Fgf2,Fgfr1,Cancer Cell,0.5,0.644167,1.0,0.8,0.66831846,0.517099931344623,0.43050869742282005,0.517099931344623
Endothelial Cells,Fgf2,Fgfr1,Neutrophils,0.5,0.644167,1.0,0.3333333333333333,0.6241173333333333,0.48290006865537705,0.4020357902613333,0.48290006865537705
Cancer Cell,Fn1,Cd44,Cancer Cell,1.0,1.76948390628201,0.8099555155756615,0.6,0.51319096,0.3638429170291098,0.9080831445694147,0.2946965774508652
Cancer Cell,Fn1,Cd44,Neutrophils,1.0,1.76948390628201,0.8099555155756615,0.3333333333333333,0.8972830000000002,0.6361570829708902,1.587727827880441,0.5152589381247963
Endothelial Cells,Fn1,Cd44,Cancer Cell,0.5,0.41518410604010003,0.1900444844243386,0.6,0.51319096,0.3638429170291098,0.2130687299554607,0.06914633957824459
Endothelial Cells,Fn1,Cd44,Neutrophils,0.5,0.41518410604010003,0.1900444844243386,0.3333333333333333,0.8972830000000002,0.6361570829708902,0.3725376402199791,0.1208981448460941
Cancer Cell,Fn1,Nt5e,Neutrophils,1.0,1.76948390628201,0.8099555155756615,0.3333333333333333,0.8259896666666666,1.0,1.4615754219219093,0.8099555155756615
Endothelial Cells,Fn1,Nt5e,Neutrophils,0.5,0.41518410604010003,0.1900444844243386,0.3333333333333333,0.8259896666666666,1.0,0.3429377813533602,0.1900444844243386
Cancer Cell,Fn1,Itgb8,Cancer Cell,1.0,1.76948390628201,0.8099555155756615,0.4,0.23784854,1.0,0.4208691636626729,0.8099555155756615
Endothelial Cells,Fn1,Itgb8,Cancer Cell,0.5,0.41518410604010003,0.1900444844243386,0.4,0.23784854,1.0,0.09875093345284296,0.1900444844243386
Cancer Cell,Fn1,Itga5,Endothelial Cells,1.0,1.76948390628201,0.8099555155756615,0.5,0.638843,0.8444878286800225,1.130422407140918,0.6839975746758985
Endothelial Cells,Fn1,Itga5,Endothelial Cells,0.5,0.41518410604010003,0.1900444844243386,0.5,0.638843,0.8444878286800225,0.2652374598549757,0.1604902540041241
Cancer Cell,Fn1,Itgav,Endothelial Cells,1.0,1.76948390628201,0.8099555155756615,0.5,0.4151840999999999,0.4253350469865363,0.7346615830941806,0.3445024672743782
Cancer Cell,Fn1,Itgav,Neutrophils,1.0,1.76948390628201,0.8099555155756615,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.779890004618327,0.36571128391124397
Endothelial Cells,Fn1,Itgav,Endothelial Cells,0.5,0.41518410604010003,0.1900444844243386,0.5,0.4151840999999999,0.4253350469865363,0.1723778394005635,0.08083257971215814
Endothelial Cells,Fn1,Itgav,Neutrophils,0.5,0.41518410604010003,0.1900444844243386,0.3333333333333333,0.4407443333333333,0.4515202092936194,0.1829900420272399,0.08580892538237536
Cancer Cell,Fn1,Itgb1,Cancer Cell,1.0,1.76948390628201,0.8099555155756615,1.0,1.05307504,0.5704933045923432,1.8633993353872842,0.4620741986535542
Cancer Cell,Fn1,Itgb1,Endothelial Cells,1.0,1.76948390628201,0.8099555155756615,0.5,0.7928275,0.4295066954076568,1.4028955017078,0.3478813169221073
Endothelial Cells,Fn1,Itgb1,Cancer Cell,0.5,0.41518410604010003,0.1900444844243386,1.0,1.05307504,0.5704933045923432,0.4372200190755426,0.108419105938789
Endothelial Cells,Fn1,Itgb1,Endothelial Cells,0.5,0.41518410604010003,0.1900444844243386,0.5,0.7928275,0.4295066954076568,0.3291693768315074,0.08162537848554959
Cancer Cell,Fn1,Plaur,Neutrophils,1.0,1.76948390628201,0.8099555155756615,0.6666666666666666,1.0625440000000002,0.9352580372615314,1.880154507716512,0.7575174057664449
Endothelial Cells,Fn1,Plaur,Neutrophils,0.5,0.41518410604010003,0.1900444844243386,0.6666666666666666,1.0625440000000002,0.9352580372615314,0.4411513807682721,0.1777406314950866
Cancer Cell,Grn,Tnfrsf1a,Cancer Cell,0.8,0.90463374,0.5861013104739109,0.8,0.56044534,0.2805818371981607,0.5069977639897715,0.1644493824770195
Cancer Cell,Grn,Tnfrsf1a,Endothelial Cells,0.8,0.90463374,0.5861013104739109,1.0,1.4369945,0.7194181628018393,1.29995370889443,0.4216519279968914
Endothelial Cells,Grn,Tnfrsf1a,Cancer Cell,0.5,0.638843,0.413898689526089,0.8,0.56044534,0.2805818371981607,0.3580365823416201,0.1161324547211412
Endothelial Cells,Grn,Tnfrsf1a,Endothelial Cells,0.5,0.638843,0.413898689526089,1.0,1.4369945,0.7194181628018393,0.9180138773635,0.2977662348049479
Cancer Cell,Inhba,Eng,Endothelial Cells,0.6,0.6117163999999999,1.0,0.5,1.0055020000000001,1.0,0.6150820636327998,1.0
Cancer Cell,Inhba,Bambi,Cancer Cell,0.6,0.6117163999999999,1.0,0.8,0.84799434,1.0,0.5187320448851759,1.0
Endothelial Cells,Lamb1,Itga6,Endothelial Cells,0.5,0.4151840999999999,1.0,0.5,0.644167,1.0,0.2674478961447,1.0
