Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Cancer Cell,C1qb,Lrp1,Cancer Cell,0.4,0.28366556,0.4059035529902097,0.4,0.19375896,1.0,0.054962743893417584,0.4059035529902097
Cancer Cell,Arf1,Pld2,Cancer Cell,1.0,1.9919209999999998,0.3939393040446039,0.4,0.28366556,1.0,0.56503938594076,0.3939393040446039
Cancer Cell,Vegfc,Nrp2,Cancer Cell,0.4,0.43965074,1.0,0.4,0.5668259768583256,0.3821139694781738,0.2492054601769857,0.3821139694781738
Cancer Cell,Pgf,Nrp2,Cancer Cell,0.6,0.48939269999999996,1.0,0.4,0.5668259768583256,0.3821139694781738,0.2774004952448335,0.3821139694781738
Cancer Cell,Sema3f,Nrp2,Cancer Cell,0.4,0.19375896,1.0,0.4,0.5668259768583256,0.3821139694781738,0.1098276117770532,0.3821139694781738
Cancer Cell,Vegfa,Nrp2,Cancer Cell,0.4,0.26477368,1.0,0.4,0.5668259768583256,0.3821139694781738,0.1500805998123737,0.3821139694781738
Cancer Cell,Jag1,Notch2,Cancer Cell,0.4,0.449238,0.5047718175679142,1.0,1.1443108999999998,0.7219375551939231,0.5140679400942,0.364413731905773
Cancer Cell,Calr,Lrp1,Cancer Cell,0.8,1.17376542,0.36310712564787,0.4,0.19375896,1.0,0.2274275670631632,0.36310712564787
Cancer Cell,Cgn,F11r,Cancer Cell,1.0,2.1667886000000003,0.7708370064614326,0.8,0.8057409377166168,0.4320113262963071,1.745870278397676,0.3330103175196786
Cancer Cell,H2-K1,Erbb2,Cancer Cell,1.0,2.4736412,0.332456669386663,0.4,0.29469509999999993,1.0,0.7289699407981202,0.332456669386663
Cancer Cell,Tgfb1,Vasn,Cancer Cell,0.8,0.8052013000000001,0.31839281377138695,0.4,0.19119589999999997,1.0,0.15395118723467002,0.31839281377138695
Cancer Cell,Tgfb1,Itgb8,Cancer Cell,0.8,0.8052013000000001,0.31839281377138695,0.4,0.23784854,1.0,0.191515953611102,0.31839281377138695
Cancer Cell,Timp1,Cd63,Cancer Cell,0.6,0.4427400599999999,0.5011294634527368,1.0,2.1376703999999997,0.6075951899995066,0.9464323211562241,0.3044838515609164
Cancer Cell,Psap,Lrp1,Cancer Cell,1.0,1.33298616,0.2978304140602654,0.4,0.19375896,1.0,0.2582780120559935,0.2978304140602654
Cancer Cell,Fn1,Cd44,Cancer Cell,1.0,1.76948390628201,0.8099555155756615,0.6,0.51319096,0.3638429170291098,0.9080831445694147,0.2946965774508652
Cancer Cell,Hsp90aa1,Fgfr3,Cancer Cell,1.0,2.8539086,0.5364284890919393,0.4,0.42691158,0.5069632704920182,1.218366629601588,0.2719495412151414
