Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Cancer Cell,Sema3f,Nrp2,Endothelial Cells,0.4,0.19375896,1.0,0.5,0.916569088840005,0.6178860305218261,0.177593473421787,0.6178860305218261
Cancer Cell,Vegfa,Nrp2,Endothelial Cells,0.4,0.26477368,1.0,0.5,0.916569088840005,0.6178860305218261,0.2426833706264151,0.6178860305218261
Cancer Cell,Vegfc,Nrp2,Endothelial Cells,0.4,0.43965074,1.0,0.5,0.916569088840005,0.6178860305218261,0.4029702781696339,0.6178860305218261
Cancer Cell,Pgf,Nrp2,Endothelial Cells,0.6,0.48939269999999996,1.0,0.5,0.916569088840005,0.6178860305218261,0.4485622211239499,0.6178860305218261
Cancer Cell,Rspo3,Lrp6,Endothelial Cells,0.4,0.3908278,1.0,0.5,0.4151840999999999,0.5444142752672905,0.16226548839798002,0.5444142752672905
Cancer Cell,Agrn,Lrp4,Endothelial Cells,0.8,0.57008014,0.4715602846348032,0.5,0.638843,1.0,0.36419170687802,0.4715602846348032
Cancer Cell,Cdh1,Igf1r,Endothelial Cells,0.8,0.67700888,1.0,0.5,0.4151840999999999,0.4651356604644934,0.281083322534808,0.4651356604644934
Cancer Cell,Cgn,F11r,Endothelial Cells,1.0,2.1667886000000003,0.7708370064614326,1.0,1.0593512223069301,0.5679886737036929,2.2953901518907216,0.43782668894175397
Cancer Cell,Lgals3bp,Itgb1,Endothelial Cells,0.4,0.40917854,1.0,0.5,0.7928275,0.4295066954076568,0.32440799892185,0.4295066954076568
Cancer Cell,Adam9,Itgb1,Endothelial Cells,0.6,0.29689508,1.0,0.5,0.7928275,0.4295066954076568,0.23538658403870003,0.4295066954076568
Cancer Cell,Ptn,Sdc3,Endothelial Cells,0.8,1.43604044,0.4288049893244599,0.5,0.644167,1.0,0.92504986211348,0.4288049893244599
Cancer Cell,Ptn,Ptprb,Endothelial Cells,0.8,1.43604044,0.4288049893244599,1.0,2.306858,1.0,3.3127413773375203,0.4288049893244599
Cancer Cell,Adam9,Itgav,Endothelial Cells,0.6,0.29689508,1.0,0.5,0.4151840999999999,0.4253350469865363,0.12326611658422802,0.4253350469865363
Cancer Cell,Grn,Tnfrsf1a,Endothelial Cells,0.8,0.90463374,0.5861013104739109,1.0,1.4369945,0.7194181628018393,1.29995370889443,0.4216519279968914
Cancer Cell,Arf1,Insr,Endothelial Cells,1.0,1.9919209999999998,0.3939393040446039,0.5,0.4151840999999999,1.0,0.8270139276560999,0.3939393040446039
Cancer Cell,Nampt,Insr,Endothelial Cells,0.6,0.3859560399999999,0.3746698452643094,0.5,0.4151840999999999,1.0,0.160242811106964,0.3746698452643094
Cancer Cell,Hras,Insr,Endothelial Cells,0.4,0.2474161,0.3734017888917027,0.5,0.4151840999999999,1.0,0.10272323080401,0.3734017888917027
Cancer Cell,Calr,Scarf1,Endothelial Cells,0.8,1.17376542,0.36310712564787,0.5,0.4151840999999999,1.0,0.4873287395138219,0.36310712564787
Cancer Cell,Anxa2,Robo4,Endothelial Cells,1.0,1.87210214,0.3567772819305744,1.0,1.28301,1.0,2.4019257666414,0.3567772819305744
Cancer Cell,Fn1,Itgb1,Endothelial Cells,1.0,1.76948390628201,0.8099555155756615,0.5,0.7928275,0.4295066954076568,1.4028955017078,0.3478813169221073
Cancer Cell,Fn1,Itgav,Endothelial Cells,1.0,1.76948390628201,0.8099555155756615,0.5,0.4151840999999999,0.4253350469865363,0.7346615830941806,0.3445024672743782
Cancer Cell,Hras,Cav1,Endothelial Cells,0.4,0.2474161,0.3734017888917027,1.0,1.963124,0.8830967161493478,0.48570848389640003,0.3297498935745547
Cancer Cell,Tgfb1,Acvrl1,Endothelial Cells,0.8,0.8052013000000001,0.31839281377138695,0.5,0.638843,1.0,0.5143972140959001,0.31839281377138695
Cancer Cell,Tgfb1,Eng,Endothelial Cells,0.8,0.8052013000000001,0.31839281377138695,0.5,1.0055020000000001,1.0,0.8096315175525999,0.31839281377138695
Cancer Cell,Timp3,Kdr,Endothelial Cells,0.4,0.5946713,0.2927013389702184,1.0,1.6496689999999998,1.0,0.9810108087997,0.2927013389702184
